ticker,n_obs,sample_L2,sample_tau4,est_m_lmom,est_scale_lmom,equivalent_nu,optimization_error,converged
AAPL,6287,0.547964328185567,0.17210344311814182,3.8739062286091177,2.1823175664793375,6.747812457218235,1.0271831606902809e-11,True
ADBE,6287,0.5398581310395791,0.18624408481171886,3.2335071810291454,1.8610818814722776,5.467014362058291,1.1439771737485732e-10,True
ADP,6244,0.5422698763854185,0.18278926733711956,3.3626895077838634,1.9312975655995777,5.725379015567727,6.2792721333227324e-12,True
AMZN,6288,0.5411305452573291,0.1845715409734115,3.294472585438216,1.8948544397896518,5.588945170876432,1.756664189562442e-12,True
BA,6288,0.5507131602009934,0.16448434451233035,4.393670070103618,2.406886865920356,7.787340140207236,5.223452572703305e-10,True
CAT,6287,0.5482449267767565,0.17165410574490528,3.901176795606155,2.1950720187032187,6.80235359121231,3.705031528685021e-10,True
CSCO,6287,0.5404142712607936,0.18542478495248088,3.263126274651979,1.8772934908581116,5.526252549303958,2.4732497711185077e-11,True
DE,6288,0.5463446885780673,0.17525708199808504,3.7020625687422655,2.1012372681538927,6.404125137484531,7.152323905511948e-11,True
EMR,6284,0.5493033320554559,0.17084251669636197,3.948849489797434,2.219603734386035,6.897698979594868,3.5303033168267664e-12,True
ETN,3247,0.5538683961018724,0.15955379493136854,4.8464937749885255,2.5937858754964185,8.692987549977051,1.075863899606103e-11,True
FDX,6287,0.5478521755044606,0.1710513355105213,3.9355194999043004,2.2081652442579163,6.871038999808601,3.7828192525356126e-10,True
HON,6285,0.5495038329143008,0.16924237947667625,4.049162361919981,2.2625263392393773,7.098324723839962,1.2476805528840828e-10,True
HPQ,5703,0.5403235639043855,0.18558278372916176,3.2573885364288397,1.874223447463553,5.5147770728576795,9.680423545130504e-12,True
IBM,6286,0.5411227046586161,0.18301453824733285,3.3538895899270273,1.923065016070737,5.707779179854055,1.8504232860284182e-12,True
INTC,6288,0.5492058388947626,0.166287419714787,4.253429215315511,2.3446830190977277,7.506858430631022,9.217864886076292e-10,True
MSFT,6288,0.5459663145387084,0.17671472592659673,3.6299304261840653,2.067707405115274,6.2598608523681305,5.548627607997951e-10,True
NOC,6287,0.5443776837986015,0.17904728725401997,3.519957198973377,2.0119904237949946,6.039914397946754,2.574391254367358e-17,True
NVDA,6288,0.5476906056654199,0.17097996429211693,3.940509489087723,2.2095644087154613,6.881018978175446,5.238319061617505e-12,True
QCOM,6287,0.5408589370253867,0.18491733877182123,3.2805372978904197,1.8872834235144436,5.561074595780839,1.280812621817269e-09,True
ROK,6284,0.5461806937378711,0.17502001943508633,3.714194105055601,2.1059605619516857,6.428388210111202,4.5309876181679994e-11,True
RTX,1949,0.5350664509639385,0.2019311903194109,2.787844794741711,1.617289966965104,4.575689589483422,1.473377178378433e-10,True
UNP,6288,0.5485925082090064,0.1689982433065359,4.064452143984261,2.26512723856564,7.128904287968522,5.091847932882689e-10,True
UPS,6285,0.5420796988774612,0.18289698849086658,3.3584446129089467,1.928615649905059,5.716889225817893,7.118156115336627e-12,True
XRX,6280,0.5431659507904761,0.1799104551937924,3.4819285592860285,1.9900881637120698,5.963857118572057,3.7338824079943947e-13,True
