ticker,n,Best_Model,AIC_Normal,AIC_StudentT,AIC_PearsonVII,m_lmom,scale_lmom,nu_mle
AAPL,6287,PearsonVII,17851.552656010877,17719.855248524655,17582.201194630783,3.8739062286091177,2.1823175664793375,16.430059888887236
ADBE,6287,PearsonVII,17880.27133659793,17616.38035376603,17355.481988013693,3.2335071810291454,1.8610818814722776,12.477290781295773
ADP,6244,PearsonVII,17694.172571456795,17524.839270600165,17323.234382374416,3.3626895077838634,1.9312975655995777,14.591535476574858
AMZN,6288,PearsonVII,17932.835941972786,17637.245436066165,17382.64247821737,3.294472585438216,1.8948544397896518,12.230586950041602
BA,6288,PearsonVII,17838.122517565862,17754.195029930615,17653.624421222066,4.393670070103618,2.406886865920356,19.06428836191987
CAT,6287,PearsonVII,17800.244723358708,17719.479849774434,17598.131586803982,3.901176795606155,2.1950720187032187,18.582866052769138
CSCO,6287,PearsonVII,17993.917059211126,17626.23679005086,17347.54096070397,3.263126274651979,1.8772934908581116,11.475519593267123
DE,6288,PearsonVII,17831.542453445843,17701.044198349144,17546.23936456267,3.7020625687422655,2.1012372681538927,16.013079659145493
EMR,6284,PearsonVII,17794.178035857854,17723.516701126056,17617.86044221792,3.948849489797434,2.219603734386035,19.728979517831526
ETN,3247,PearsonVII,9209.335262402601,9186.350193851638,9155.610597501774,4.8464937749885255,2.5937858754964185,23.860571912937708
FDX,6287,PearsonVII,17822.435702283336,17718.008464260965,17582.89784598438,3.9355194999043004,2.2081652442579163,17.004720633503904
HON,6285,PearsonVII,17823.37612510729,17730.638634295625,17619.573526596603,4.049162361919981,2.2625263392393773,18.465484920538707
HPQ,5703,PearsonVII,16119.771457244009,15982.353415162266,15780.948725838804,3.2573885364288397,1.874223447463553,14.497618265721691
IBM,6286,PearsonVII,17888.374623791016,17632.42457328117,17383.565305441356,3.3538895899270273,1.923065016070737,12.500746501774962
INTC,6288,PearsonVII,17908.038235626795,17739.910635314736,17602.658755646367,4.253429215315511,2.3446830190977277,15.45417908084328
MSFT,6288,PearsonVII,17857.899784525423,17696.309100797258,17532.82654696612,3.6299304261840653,2.067707405115274,15.353290474451802
NOC,6287,PearsonVII,17768.268178451006,17669.337085794534,17506.921078586412,3.519957198973377,2.0119904237949946,16.92192684635906
NVDA,6288,PearsonVII,17853.66026145081,17718.739820292616,17574.58140553771,3.940509489087723,2.2095644087154613,16.000536614029944
QCOM,6287,PearsonVII,17921.664653176562,17631.457049627385,17373.403045528037,3.2805372978904197,1.8872834235144436,12.179327632808082
ROK,6284,PearsonVII,17827.209325795484,17688.38810060802,17530.07492001213,3.714194105055601,2.1059605619516857,15.697643432540971
RTX,1949,PearsonVII,5582.747324876675,5436.995385420152,5338.451340552789,2.787844794741711,1.617289966965104,11.789053834837652
UNP,6288,PearsonVII,17826.4215878124,17728.943884216296,17602.21679341063,4.064452143984261,2.26512723856564,17.47283919582657
UPS,6285,PearsonVII,17784.59443613838,17635.936020640314,17432.526617172676,3.3584446129089467,1.928615649905059,14.783083502851948
XRX,6280,PearsonVII,17830.391193770156,17639.279756777098,17434.443334580596,3.4819285592860285,1.9900881637120698,13.941189529303005
